id	progress	finished	recorded_date	q3_1	q3_6	q3_7	q3_2	q3_3	q3_4	q3_8	q3_9	q3_5	q4	q6_1_1	q6_1_2	q6_1_3	q7	q8_1_1	q8_1_2	q8_1_3	q9_1	q9_2	q10_1	q10_2	q10_3	q10_4	q10_5	q10_6	q10_7	q10_8	q10_9	q11	q12	q13	q14	q15_1	q15_2	q15_3	q15_4	q15_6	q15_5	q16	q18	q21	q22	duration_mins	progress_cat	adequate1	adequate2	any_adequate
73	100	TRUE	2024-06-06	Chair	NA	NA	Full member	NA	NA	NA	NA	NA	4	3	NA	NA	10	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Within committee	NA	NA	Only need occasional statistical expertise	Other committee members are able to cover statistical questions	NA	Other, please specify	No	No	NA	NA	15.9166666666667	(75,100]	No	No	No
74	100	TRUE	2024-06-07	Chair	NA	NA	NA	NA	NA	NA	NA	NA	12	95	80	110	NA	NA	NA	NA	No	Yes	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, part-time	For selected applications that include quantitative data and/or analysis	Never had one	Researchers are expected to consult a qualified statistician before submitting their application	NA	NA	NA	NA	We have access to statistical expertise outside the committee	NA	No	No	Always	Always	32.0333333333333	(75,100]	No	Yes	Yes
75	100	TRUE	2024-06-08	Chair	NA	NA	NA	NA	NA	NA	NA	NA	23	75	50	100	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Researchers are expected to consult a qualified statistician before submitting their application	NA	Statisticians' expertise is not necessary for the decision-making process	NA	NA	NA	NA	No	No	NA	NA	1436.45	(75,100]	No	No	No
76	100	TRUE	2024-06-10	Chair	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30231.3666666667	(75,100]	Unknown	Unknown	Unknown
77	100	TRUE	2024-06-10	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	18	57	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	MBiostat	Phd Statistics	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	18.1166666666667	(75,100]	Unknown	Yes	Yes
78	100	TRUE	2024-06-13	Chair	NA	NA	NA	NA	NA	NA	NA	NA	8	10	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	NA	Statisticians' expertise is not necessary for the decision-making process	NA	NA	NA	NA	No	No	NA	NA	21.9833333333333	(75,100]	No	No	No
79	100	TRUE	2024-06-17	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	12	7	NA	NA	7	7	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	NA	NA	NA	Other committee members are able to cover statistical questions	We have access to statistical expertise outside the committee	NA	No	Don't know	NA	NA	15927.4166666667	(75,100]	No	No	No
80	68	FALSE	2024-06-17	Chair	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	68	50	40	60	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Other	NA	NA	NA	NA	NA	Other, please specify	No	NA	NA	NA	20334.8333333333	(50,75]	No	No	No
81	100	TRUE	2024-06-17	Chair	NA	NA	NA	NA	NA	NA	NA	NA	16	100	NA	NA	NA	NA	NA	NA	Yes	No	NA	BSc Statistics	NA	NA	MBiostat	Phd Statistics	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Always	3.76666666666667	(75,100]	Yes	No	Yes
82	68	FALSE	2024-06-18	Chair	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	17569.1166666667	(50,75]	No	No	No
83	100	TRUE	2024-06-19	Chair	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	7	10	14	55	50	60	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Researchers are expected to consult a qualified statistician before submitting their application	NA	NA	Only need occasional statistical expertise	NA	NA	Other, please specify	Yes	NA	NA	NA	41960.6833333333	(75,100]	No	No	No
84	100	TRUE	2024-06-19	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	13	15	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Researchers are expected to consult a qualified statistician before submitting their application	Cannot recruit one	Statisticians' expertise is not necessary for the decision-making process	NA	Other committee members are able to cover statistical questions	We have access to statistical expertise outside the committee	NA	No	No	NA	NA	62.3666666666667	(75,100]	No	No	No
85	100	TRUE	2024-06-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	10	8	NA	NA	11	72	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Other	NA	NA	Only need occasional statistical expertise	Other committee members are able to cover statistical questions	We have access to statistical expertise outside the committee	NA	No	No	NA	NA	24536.55	(75,100]	No	No	No
86	100	TRUE	2024-06-25	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	14	0	NA	NA	27	33	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	No	When the committee and/or chair feels unable to assess the statistical methods	Never had one	Applications are reviewed outside the committee by a methods review panel or scientific sub-committee	NA	NA	NA	NA	We have access to statistical expertise outside the committee	NA	No	No	Always	Always	29219.9666666667	(75,100]	No	No	No
87	100	TRUE	2024-07-05	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	8	24	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Applications are reviewed outside the committee by a methods review panel or scientific sub-committee	NA	NA	NA	Other committee members are able to cover statistical questions	NA	NA	No	NA	NA	NA	32974.95	(75,100]	No	No	No
88	48	FALSE	2024-07-05	Chair	NA	NA	NA	NA	NA	NA	NA	NA	28	NA	NA	NA	232	75	70	80	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1495.28333333333	(5,50]	No	No	No
89	100	TRUE	2024-07-10	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	8	12	NA	NA	NA	NA	NA	NA	Yes	Yes	No formal qualifications	NA	NA	NA	NA	NA	NA	NA	NA	No	Other, please specify	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	12.6833333333333	(75,100]	No	No	No
90	48	FALSE	2024-07-13	NA	NA	NA	NA	NA	NA	NA	NA	Other - please specify	NA	800	750	850	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10348.4166666667	(5,50]	No	No	No
91	100	TRUE	2024-07-15	NA	Co-chair	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8713.15	(75,100]	No	No	No
92	100	TRUE	2024-07-22	Chair	NA	NA	NA	NA	NA	NA	NA	NA	9	0	NA	NA	0	0	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3 or more years ago	Researchers are expected to consult a qualified statistician before submitting their application	NA	NA	Only need occasional statistical expertise	NA	NA	NA	No	Yes	NA	NA	14.7	(75,100]	No	No	No
93	100	TRUE	2024-07-22	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	Cannot recruit one	NA	NA	NA	NA	Other, please specify	Yes	NA	NA	NA	6258.8	(75,100]	No	No	No
94	100	TRUE	2024-08-15	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	10	NA	NA	NA	45	90	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	Accredited statistician from a professional society, e.g., Statistical Society of Australia	NA	Other, please specify	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	3.61666666666667	(75,100]	Yes	Yes	Yes
